BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS                    ,1,390,61, ,A4,189 EAST 7TH STREET, ,10009,1,0,1,987,"2,183",1860, 	1 ,A4," $	4,844,809 ",5/22/18
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS                    ,1,390,61, ,A4,189 EAST 7TH STREET, ,10009,1,0,1,987,"2,183",1860, 	1 ,A4, $	-   ,5/23/18
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS                    ,1,390,35, ,B1,113 AVENUE C, ,10009,2,0,2,"1,218","4,764",1899, 	1 ,B1, $	-   ,4/25/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,385,36, ,C7,27 AVENUE C, ,10009,24,1,25,"2,650","9,960",1910, 	2 ,C7," $	5,235,000 ",7/11/17
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,390,54, ,C3,203 EAST 7TH STREET, ,10009,4,0,4,"1,950","5,446",2001, 	2 ,C3," $	6,250,000 ",5/9/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,390,64, ,C4,187 EAST 7TH STREET, ,10009,8,2,10,"1,642","5,220",1910, 	2 ,C4," $	2,400,000 ",5/18/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6, ,C2,153 AVENUE B, ,10009,5,0,5,"1,633","6,440",1900, 	2 ,C2," $	6,625,000 ",7/19/17
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,393,47, ,C4,377 EAST 10TH, ,10009,12,0,12,"2,370","10,715",1900, 	2 ,C4," $	954,623 ",6/4/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,32, ,C7,30 AVENUE B, ,10009,16,2,18,"1,934","8,700",1900, 	2 ,C7, $	-   ,3/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,32, ,C7,30 AVENUE B, ,10009,16,2,18,"1,934","8,700",1900, 	2 ,C7, $	-   ,3/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,33, ,C7,28 AVENUE B, ,10009,16,1,17,"1,933","8,699",1900, 	2 ,C7," $	5,000,000 ",3/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,33, ,C7,28 AVENUE B, ,10009,16,1,17,"1,933","8,699",1900, 	2 ,C7, $	-   ,3/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET, ,10009,28,3,31,"4,616","18,690",1900, 	2 ,C7," $	7,906,412 ",3/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET, ,10009,28,3,31,"4,616","18,690",1900, 	2 ,C7, $	-   ,3/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,400,54, ,C7,207 EAST 4TH STREET, ,10009,8,3,11,"2,364","7,166",1900, 	2 ,C7," $	3,000,000 ",5/18/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,400,61, ,C7,193 EAST 4TH   STREET, ,10009,11,1,12,"2,388","8,045",1900, 	2 ,C7," $	7,675,000 ",11/13/17
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,36, ,C4,106 AVENUE B, ,10009,8,2,10,"1,919","7,810",1900, 	2 ,C4," $	3,100,000 ",5/18/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,47, ,C3,317 EAST 10TH   STREET, ,10009,4,0,4,"2,369","4,100",1900, 	2 ,C3," $	5,850,000 ",3/29/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,405,16, ,C4,516 EAST 12TH   STREET, ,10009,20,0,20,"2,581","9,730",1900, 	2 ,C4, $	-   ,7/20/17
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,406,27, ,C4,544 EAST 13TH STREET, ,10009,14,0,14,"2,468","10,888",1900, 	2 ,C4," $	1,423,033 ",6/4/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,407,18, ,C7,520 EAST 14TH   STREET, ,10009,44,2,46,"5,163","21,007",1900, 	2 ,C7, $	-   ,7/20/17
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,394,44, ,D7,181 AVENUE C, ,10009,30,4,34,"4,295","21,328",1910, 	2 ,D7, $	-   ,7/20/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 2E", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	423,000 ",7/14/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 1B", ,10009,0,0,0,0,0,1920, 	2 ,C6, $	400 ,12/15/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,46, ,C6,"317 EAST 3RD STREET, 11", ,10009,0,0,0,0,0,1925, 	2 ,C6," $	445,000 ",1/3/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,46, ,C6,"317 EAST THIRD STREET, A", ,10009,0,0,0,0,0,1925, 	2 ,C6," $	590,000 ",2/28/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD, 22", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	510,000 ",8/17/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD STREET, 12", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	449,000 ",11/6/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD STREET, 20", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	385,000 ",5/31/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,374,8, ,C6,"702 EAST 5TH STREET, 4W", ,10009,0,0,0,0,0,1900, 	2 ,C6, $	-   ,5/29/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,374,65, ,C6,"309 EAST 4TH STREET, 1A", ,10009,0,0,0,0,0,1900, 	2 ,C6, $	-   ,5/3/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 3", ,10009,0,0,0,0,0,1902, 	2 ,C6," $	240,000 ",7/28/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 1", ,10009,0,0,0,0,0,1902, 	2 ,C6," $	350,000 ",8/30/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,5, ,C6,"98 AVENUE C, 5D", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	379,000 ",11/2/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 2", ,10009,0,0,0,0,0,1928, 	2 ,C6," $	404,000 ",7/7/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,18, ,C6,"252 EAST 7TH STREET, 23", ,10009,0,0,0,0,0,1928, 	2 ,C6," $	350,000 ",2/27/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,377,54, ,C6,"267 EAST 7 ST, 4", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	1,400,000 ",8/4/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH STREET, 1D", ,10009,0,0,0,0,0,1930, 	2 ,C6," $	455,000 ",1/18/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,387,15, ,C6,"610 EAST 5TH STREET, 13", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	505,000 ",4/10/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,9, ,C6,"184 EAST 7TH ST, 6", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	690,000 ",1/11/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,20, ,C6,"204 EAST 7TH STREET, 10", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	360,000 ",11/22/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,20, ,C6,"204 EAST 7TH STREET, 6", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	505,000 ",2/8/18
